id,cps19_age,cps19_gender,cps19_interest_gen_1
8902,79,1,9
8903,48,1,8
8904,63,2,7
8905,64,1,7
8906,37,2,8
8907,32,2,6
8908,66,2,8
8909,61,1,10
8910,55,2,8
8911,24,2,6
8912,58,1,5
8913,66,2,6
8914,50,2,10
8915,42,2,2
8916,58,2,2
8917,52,1,10
8918,18,2,5
8919,42,1,6
8920,64,2,3
8921,36,2,7
8922,34,1,2
8923,40,2,3
8924,63,2,5
8925,19,2,7
8926,47,1,8
8927,61,1,9
8928,28,2,6
8929,33,1,7
8930,34,1,7
8931,47,1,8
8932,65,2,6
8933,66,1,8
8934,70,1,10
8935,33,2,6
8936,50,2,7
8937,60,2,0
8938,59,1,7
8939,27,2,1
8940,80,1,7
8941,60,2,6
8942,43,2,4
8943,65,2,9
8944,31,2,2
8945,55,2,8
8946,60,2,8
8947,65,2,2
8948,62,1,7
8949,34,2,0
8950,72,1,9
8951,63,1,8
8952,72,2,8
8953,68,2,7
8954,52,2,3
8955,63,2,10
8956,43,2,5
8957,50,2,6
8958,65,2,9
8959,50,2,5
8960,25,2,6
8961,42,2,0
8962,61,2,5
8963,22,2,10
8964,74,1,7
8965,59,2,7
8966,44,2,4
8967,82,1,3
8968,65,1,8
8969,67,1,5
8970,33,2,9
8971,38,2,7
8972,41,2,9
8973,65,2,9
8974,61,2,4
8975,28,2,0
8976,59,2,1
8977,80,2,10
8978,28,1,7
8979,61,2,7
8980,42,2,2
8981,64,1,7
8982,54,2,6
8983,56,2,7
8984,23,2,3
8985,49,2,8
8986,56,1,9
8987,67,1,10
8988,35,1,9
8989,49,2,0
8990,45,2,NA
8991,35,1,4
8992,44,2,10
8993,64,1,8
8994,56,2,NA
8995,65,2,10
8996,77,1,7
8997,49,2,6
8998,62,1,NA
8999,60,1,8
9000,52,2,8
9001,43,1,7
9002,40,1,10
9003,23,1,9
9004,65,1,4
9005,42,2,5
9006,98,2,9
9007,67,1,NA
9008,65,2,7
9009,37,2,2
9010,65,1,7
9011,27,1,NA
9012,58,2,6
9013,33,1,8
9014,38,1,7
9015,39,2,7
9016,75,1,6
9017,44,2,10
9018,69,1,9
9019,70,1,9
9020,58,2,5
9021,63,1,7
9022,35,2,8
9023,25,1,6
9024,25,1,6
9025,34,1,10
9026,65,2,8
9027,64,1,9
9028,65,2,8
9029,56,1,7
9030,64,1,7
9031,28,1,10
9032,66,1,9
9033,53,2,8
9034,51,2,7
9035,30,1,4
9036,39,1,6
9037,70,2,6
9038,20,1,6
9039,21,2,0
9040,55,2,10
9041,61,2,7
9042,50,2,6
9043,60,2,7
9044,33,1,6
9045,26,1,7
9046,26,2,8
9047,30,1,8
9048,58,1,7
9049,45,2,8
9050,47,2,3
9051,29,1,6
9052,60,1,9
9053,37,2,8
9054,54,2,7
9055,45,2,3
9056,37,2,7
9057,55,1,6
9058,62,1,10
9059,18,2,3
9060,57,2,4
9061,42,2,7
9062,36,2,3
9063,69,1,7
9064,43,1,7
9065,56,2,7
9066,41,2,5
9067,33,2,8
9068,34,2,2
9069,62,1,6
9070,51,2,7
9071,44,1,3
9072,65,1,9
9073,36,2,3
9074,42,1,2
9075,20,1,3
9076,45,1,1
9077,54,2,4
9078,29,2,7
9079,66,2,7
9080,50,1,7
9081,73,2,8
9082,69,2,5
9083,36,2,7
9084,28,1,5
9085,45,2,NA
9086,29,2,7
9087,22,1,10
9088,25,2,6
9089,38,2,10
9090,26,2,7
9091,30,1,3
9092,43,2,NA
9093,41,2,6
9094,73,1,6
9095,67,2,7
9096,61,2,6
9097,62,2,2
9098,37,2,4
9099,48,2,8
9100,41,2,8
9101,32,2,6
9102,51,1,8
9103,56,2,10
9104,42,2,5
9105,50,1,6
9106,20,2,4
9107,99,1,4
9108,21,3,10
9109,34,2,3
9110,60,2,7
9111,45,2,6
9112,53,1,8
9113,53,2,3
9114,29,1,7
9115,22,1,4
9116,62,2,2
9117,32,1,7
9118,28,1,6
9119,29,2,5
9120,46,2,7
9121,39,2,9
9122,57,1,10
9123,65,2,7
9124,78,2,8
9125,24,1,8
9126,29,1,3
9127,65,1,7
9128,26,1,4
9129,34,1,6
9130,34,1,10
9131,66,2,6
9132,31,1,2
9133,65,1,10
9134,29,1,8
9135,27,1,7
9136,66,2,8
9137,25,1,5
9138,20,1,NA
9139,33,1,8
9140,29,1,4
9141,27,3,10
9142,73,2,7
9143,66,1,9
9144,65,2,8
9145,69,1,3
9146,65,2,0
9147,66,2,4
9148,65,1,8
9149,67,1,4
9150,68,2,9
9151,69,2,7
9152,65,1,NA
9153,49,2,5
9154,39,2,NA
9155,53,2,7
9156,53,2,8
9157,44,1,8
9158,20,2,4
9159,37,1,NA
9160,47,2,8
9161,65,2,10
9162,41,2,5
9163,40,2,NA
9164,30,2,6
9165,52,2,6
9166,19,1,6
9167,54,2,5
9168,28,2,2
9169,55,2,2
9170,49,2,5
9171,27,1,0
9172,23,1,3
9173,27,2,4
9174,40,2,0
9175,31,2,3
9176,26,2,3
9177,51,2,10
9178,39,1,7
9179,20,2,NA
9180,47,2,6
9181,32,2,NA
9182,47,1,10
9183,71,2,9
9184,43,2,6
9185,30,3,3
9186,44,1,6
9187,35,2,9
9188,42,2,8
9189,68,2,8
9190,48,2,3
9191,70,2,5
9192,72,1,7
9193,38,2,8
9194,35,1,8
9195,75,2,8
9196,53,2,NA
9197,79,1,2
9198,54,2,4
9199,53,2,7
9200,23,2,6
9201,67,1,9
9202,34,1,10
9203,76,1,9
9204,21,1,3
9205,54,2,8
9206,33,2,NA
9207,25,2,8
9208,60,1,7
9209,71,1,2
9210,39,2,9
9211,66,2,3
9212,71,2,7
9213,38,2,3
9214,65,2,8
9215,27,2,4
9216,21,2,7
9217,71,1,8
9218,51,2,NA
9219,81,1,7
9220,30,2,4
9221,37,2,3
9222,31,2,6
9223,45,1,8
9224,41,2,4
9225,50,2,8
9226,36,2,10
9227,73,1,8
9228,21,2,NA
9229,66,2,7
9230,37,1,6
9231,76,2,8
9232,67,2,6
9233,62,1,3
9234,26,1,NA
9235,73,2,8
9236,44,2,7
9237,28,2,7
9238,73,2,1
9239,74,2,NA
9240,32,2,6
9241,33,2,10
9242,49,1,0
9243,59,2,7
9244,52,1,8
9245,67,2,10
9246,65,2,6
9247,31,2,8
9248,24,2,9
9249,79,2,10
9250,31,1,3
9251,60,1,2
9252,59,1,8
9253,57,2,5
9254,33,2,7
9255,70,1,9
9256,49,2,7
9257,67,1,8
9258,50,2,8
9259,54,1,7
9260,62,2,8
9261,60,1,7
9262,43,2,6
9263,64,1,9
9264,73,1,1
9265,18,1,10
9266,35,2,8
9267,46,2,4
9268,71,1,10
9269,57,2,8
9270,24,2,9
9271,27,2,6
9272,65,1,9
9273,67,1,NA
9274,33,2,3
9275,41,2,NA
9276,36,1,3
9277,66,1,3
9278,71,1,7
9279,19,2,4
9280,40,2,0
9281,56,3,8
9282,57,2,2
9283,56,1,6
9284,33,2,8
9285,53,1,6
9286,64,1,7
9287,50,2,9
9288,25,1,3
9289,18,2,3
9290,38,2,0
9291,53,2,5
9292,72,1,5
9293,64,2,6
9294,21,1,7
9295,76,1,9
9296,27,2,6
9297,22,1,6
9298,48,1,7
9299,42,2,7
9300,22,2,8
9301,70,1,9
9302,67,1,NA
9303,60,1,7
9304,56,1,8
9305,40,2,7
9306,18,2,3
9307,49,2,2
9308,37,2,7
9309,69,2,10
9310,26,2,8
9311,21,2,NA
9312,56,2,9
9313,39,1,8
9314,61,2,NA
9315,38,2,3
9316,31,2,8
9317,73,1,8
9318,54,2,4
9319,45,2,9
9320,33,1,8
9321,73,3,7
9322,56,1,8
9323,56,1,2
9324,62,2,8
9325,75,2,9
9326,32,2,6
9327,52,1,10
9328,22,2,8
9329,33,1,7
9330,48,1,8
9331,60,2,7
9332,23,2,NA
9333,23,2,NA
9334,39,2,3
9335,57,1,10
9336,39,2,2
9337,33,2,NA
9338,60,2,8
9339,69,1,6
9340,78,1,7
9341,61,2,9
9342,84,1,7
9343,39,2,8
9344,63,1,7
9345,42,2,7
9346,63,2,8
9347,57,2,NA
9348,33,2,7
9349,79,2,8
9350,60,1,3
9351,71,1,9
9352,31,2,4
9353,33,2,NA
9354,76,2,8
9355,60,2,6
9356,43,2,7
9357,72,2,NA
9358,36,2,3
9359,67,2,9
9360,67,1,8
9361,56,2,7
9362,38,2,10
9363,63,3,7
9364,76,1,7
9365,46,2,8
9366,52,2,8
9367,32,2,5
9368,65,2,8
9369,60,1,8
9370,69,2,10
9371,53,2,7
9372,38,2,3
9373,63,1,7
9374,41,2,10
9375,84,2,9
9376,51,2,8
9377,27,2,6
9378,19,2,4
9379,67,1,8
9380,65,1,NA
9381,26,2,6
9382,81,1,0
9383,54,2,8
9384,74,1,8
9385,41,2,3
9386,70,1,3
9387,44,2,7
9388,39,1,1
9389,18,2,6
9390,57,1,8
9391,21,2,3
9392,59,2,10
9393,30,2,7
9394,66,2,6
9395,25,2,3
9396,42,2,6
9397,29,2,NA
9398,52,1,8
9399,67,1,8
9400,69,1,10
9401,44,2,8
9402,68,1,3
9403,75,1,10
9404,70,2,5
9405,48,2,7
9406,67,2,8
9407,56,2,8
9408,74,1,6
9409,28,2,NA
9410,48,1,8
9411,41,2,4
9412,68,1,9
9413,65,2,7
9414,61,2,2
9415,64,2,9
9416,62,1,9
9417,75,1,9
9418,74,2,3
9419,67,1,9
9420,39,1,5
9421,81,2,7
9422,65,1,8
9423,38,1,8
9424,66,1,8
9425,58,1,7
9426,27,2,NA
9427,49,1,7
9428,67,1,7
9429,58,1,8
9430,66,1,9
9431,70,2,4
9432,22,1,NA
9433,47,2,1
9434,46,2,8
9435,65,1,7
9436,55,1,5
9437,71,1,6
9438,75,1,9
9439,63,2,6
9440,28,2,3
9441,72,1,4
9442,58,2,5
9443,72,1,9
9444,75,2,8
9445,70,1,9
9446,29,2,4
9447,55,1,2
9448,60,1,7
9449,43,2,6
9450,53,2,3
9451,61,2,8
9452,21,2,2
9453,52,1,7
9454,65,2,9
9455,62,2,4
9456,29,1,10
9457,26,2,2
9458,97,1,6
9459,27,2,10
9460,78,1,NA
9461,73,2,5
9462,68,1,9
9463,22,2,6
9464,33,2,1
9465,72,1,8
9466,74,2,10
9467,20,2,3
9468,69,1,8
9469,27,1,8
9470,27,1,8
9471,68,2,9
9472,74,2,9
9473,61,1,10
9474,62,2,2
9475,65,1,2
9476,26,2,1
9477,71,1,5
9478,27,2,8
9479,29,2,3
9480,69,1,7
9481,30,2,9
9482,52,2,8
9483,84,2,10
9484,50,2,9
9485,70,2,10
9486,70,1,10
9487,28,2,3
9488,66,2,8
9489,53,1,6
9490,42,2,6
9491,54,2,10
9492,69,1,8
9493,68,1,8
9494,40,2,7
9495,57,2,4
9496,40,2,8
9497,36,2,2
9498,56,1,1
9499,65,1,2
9500,72,2,3
9501,69,1,9
9502,73,1,6
9503,52,2,2
9504,47,2,NA
9505,28,2,7
9506,29,2,4
9507,38,2,6
9508,72,2,NA
9509,48,1,8
9510,36,1,8
9511,64,2,5
9512,45,2,7
9513,72,2,8
9514,39,1,7
9515,83,1,6
9516,58,2,7
9517,23,2,6
9518,63,1,9
9519,70,1,6
9520,19,2,10
9521,45,2,NA
9522,70,2,8
9523,42,2,6
9524,73,2,8
9525,66,1,NA
9526,75,1,8
9527,38,2,0
9528,57,2,8
9529,67,2,10
9530,46,2,5
9531,77,1,10
9532,51,2,8
9533,22,2,3
9534,50,2,3
9535,38,2,7
9536,86,1,9
9537,42,2,8
9538,26,2,10
9539,65,1,6
9540,37,2,8
9541,26,2,8
9542,69,1,8
9543,70,1,8
9544,73,1,3
9545,40,2,6
9546,49,1,2
9547,46,2,7
9548,70,1,7
9549,53,1,3
9550,58,2,7
9551,33,2,3
9552,33,2,8
9553,37,2,4
9554,31,2,4
9555,46,1,8
9556,70,1,7
9557,53,2,8
9558,37,2,7
9559,72,2,9
9560,39,2,8
9561,71,2,8
9562,66,1,10
9563,54,2,NA
9564,55,2,8
9565,66,1,10
9566,35,1,NA
9567,36,1,7
9568,26,2,6
9569,67,1,5
9570,24,2,6
9571,37,1,1
9572,31,1,3
9573,73,1,9
9574,51,2,7
9575,67,2,8
9576,39,2,10
9577,58,2,NA
9578,59,1,9
9579,64,2,7
9580,75,1,10
9581,21,1,4
9582,71,1,8
9583,62,2,8
9584,64,2,8
9585,73,2,8
9586,44,1,8
9587,75,1,10
9588,60,1,8
9589,54,1,10
9590,43,2,2
9591,56,1,7
9592,37,1,7
9593,63,1,8
9594,21,1,6
9595,78,1,7
9596,39,1,7
9597,46,1,6
9598,65,1,NA
9599,35,2,7
9600,72,1,7
9601,76,2,8
9602,40,2,6
9603,65,1,5
9604,71,2,8
9605,64,2,4
9606,58,1,1
9607,19,2,7
9608,73,2,7
9609,62,2,7
9610,71,1,8
9611,61,1,6
9612,70,1,9
9613,80,1,9
9614,47,1,4
9615,57,2,NA
9616,73,1,8
9617,63,2,5
9618,58,1,8
9619,26,1,7
9620,62,2,1
9621,74,1,10
9622,63,1,10
9623,40,2,6
9624,36,2,7
9625,71,1,9
9626,62,1,9
9627,24,2,4
9628,69,2,7
9629,41,1,3
9630,66,1,8
9631,49,1,NA
9632,27,1,5
9633,76,1,7
9634,65,1,8
9635,62,2,8
9636,29,2,8
9637,82,2,10
9638,63,2,3
9639,55,2,NA
9640,46,1,2
9641,57,1,9
9642,54,1,10
9643,45,2,3
9644,22,2,8
9645,72,1,10
9646,36,1,6
9647,68,1,4
9648,23,2,4
9649,42,2,6
9650,38,1,8
9651,73,1,9
9652,39,2,8
9653,72,2,8
9654,59,2,8
9655,57,1,8
9656,25,2,2
9657,41,1,9
9658,36,1,8
9659,38,2,6
9660,45,2,3
9661,69,1,7
9662,33,2,8
9663,71,1,9
9664,67,2,7
9665,64,2,10
9666,54,1,7
9667,75,1,8
9668,52,2,6
9669,80,2,9
9670,29,2,7
9671,43,2,7
9672,68,1,7
9673,58,2,5
9674,69,1,8
9675,77,1,10
9676,66,1,4
9677,56,2,3
9678,61,2,2
9679,69,1,6
9680,62,2,1
9681,71,1,9
9682,66,2,7
9683,25,2,5
9684,23,1,6
9685,44,2,6
9686,57,2,NA
9687,73,1,9
9688,54,1,8
9689,46,2,0
9690,65,2,NA
9691,50,1,7
9692,66,1,8
9693,55,1,8
9694,66,1,NA
9695,69,1,10
9696,28,2,5
9697,99,2,5
9698,23,2,1
9699,44,1,6
9700,71,1,7
9701,31,1,8
9702,44,2,7
9703,71,1,9
9704,55,1,7
9705,67,1,7
9706,71,1,10
9707,70,1,6
9708,70,1,10
9709,73,2,NA
9710,23,1,4
9711,41,1,7
9712,70,2,7
9713,80,1,10
9714,97,2,4
9715,34,2,2
9716,52,2,NA
9717,47,2,6
9718,60,2,9
9719,79,1,8
9720,55,2,7
9721,48,2,8
9722,32,1,7
9723,25,1,7
9724,70,1,8
9725,33,2,8
9726,66,2,8
9727,60,2,8
9728,52,1,2
9729,71,1,7
9730,68,2,NA
9731,42,2,8
9732,47,2,NA
9733,71,1,8
9734,21,2,2
9735,69,1,NA
9736,46,2,7
9737,42,2,3
9738,74,1,7
9739,67,1,9
9740,67,1,5
9741,73,1,10
9742,55,2,10
9743,70,1,9
9744,55,2,6
9745,71,1,10
9746,32,2,7
9747,39,1,6
9748,45,2,7
9749,78,1,7
9750,76,1,7
9751,61,2,7
9752,78,1,7
9753,68,1,7
9754,66,2,7
9755,65,2,7
9756,73,1,8
9757,37,2,7
9758,54,1,5
9759,73,2,7
9760,73,1,7
9761,64,1,NA
9762,73,2,8
9763,64,1,10
9764,78,2,4
9765,66,2,NA
9766,72,1,8
9767,50,1,8
9768,75,1,7
9769,80,2,3
9770,70,2,NA
9771,58,1,NA
9772,62,2,6
9773,22,1,8
9774,39,2,6
9775,19,2,3
9776,75,2,10
9777,56,2,7
9778,56,2,5
9779,26,2,7
9780,27,2,9
9781,49,2,4
9782,71,1,8
9783,49,1,9
9784,40,2,4
9785,23,1,7
9786,28,1,7
9787,72,2,8
9788,57,2,7
9789,47,2,7
9790,20,1,7
9791,59,2,7
9792,40,2,4
9793,38,1,7
9794,53,2,9
9795,36,1,10
9796,60,2,NA
9797,62,1,5
9798,55,2,7
9799,64,2,6
9800,25,2,NA
9801,24,2,4
9802,51,1,7
9803,40,2,6
9804,34,2,4
9805,49,1,7
9806,45,2,6
9807,42,1,5
9808,29,1,0
9809,64,2,7
9810,37,1,7
9811,50,2,10
9812,29,2,6
9813,40,1,8
9814,39,1,10
9815,70,1,7
9816,30,1,8
9817,57,2,8
9818,30,2,7
9819,57,2,NA
9820,48,1,9
9821,55,1,9
9822,69,2,7
9823,48,2,1
9824,33,2,6
9825,69,1,10
9826,30,1,0
9827,73,1,NA
9828,38,1,8
9829,70,1,8
9830,67,2,10
9831,36,1,6
9832,67,2,7
9833,45,1,8
9834,76,2,7
9835,30,2,3
9836,67,2,10
9837,54,2,8
9838,64,2,8
9839,27,2,NA
9840,57,2,9
9841,98,1,9
9842,18,3,1
9843,81,2,NA
9844,54,2,5
9845,22,2,7
9846,50,1,10
9847,62,2,4
9848,26,1,8
9849,30,1,8
9850,23,1,7
9851,24,1,6
9852,27,2,3
9853,41,1,10
9854,39,2,7
9855,56,2,0
9856,29,2,8
9857,24,2,6
9858,30,1,8
9859,27,1,6
9860,39,2,7
9861,60,2,9
9862,31,1,10
9863,71,1,7
9864,32,2,7
9865,34,2,7
9866,21,2,9
9867,28,2,8
9868,30,2,9
9869,50,2,8
9870,45,2,8
9871,62,1,7
9872,54,2,7
9873,71,1,10
9874,55,1,7
9875,39,2,NA
9876,28,2,6
9877,57,1,NA
9878,39,2,2
9879,41,2,7
9880,22,2,6
9881,63,2,6
9882,36,1,6
9883,47,2,4
9884,35,2,8
9885,39,2,7
9886,41,2,3
9887,42,2,9
9888,28,2,6
9889,54,2,8
9890,31,2,3
9891,69,1,5
9892,62,2,5
9893,56,1,6
9894,32,1,8
9895,67,2,7
9896,22,1,3
9897,22,1,6
9898,34,2,7
9899,59,2,9
9900,58,2,7
9901,27,2,1
9902,45,1,6
9903,43,2,9
9904,63,2,10
9905,49,2,1
9906,21,2,3
9907,61,2,7
9908,33,2,7
9909,35,2,6
9910,39,2,4
9911,39,2,6
9912,22,1,7
9913,54,2,6
9914,33,2,2
9915,25,1,4
9916,58,2,7
9917,27,2,6
9918,18,1,3
9919,30,1,9
9920,64,2,7
9921,55,1,7
9922,29,2,4
9923,21,2,4
9924,26,1,3
9925,65,1,8
9926,68,2,NA
9927,20,2,8
9928,33,2,6
9929,43,2,3
9930,96,1,6
9931,71,1,8
9932,33,2,4
9933,73,1,10
9934,37,2,10
9935,39,2,8
9936,28,2,3
9937,47,2,7
9938,48,1,10
9939,74,2,6
9940,46,2,1
9941,28,2,4
9942,53,1,7
9943,27,1,8
9944,42,2,NA
9945,58,2,6
9946,20,1,7
9947,36,1,8
9948,38,2,7
9949,40,2,1
9950,33,2,5
9951,62,2,7
9952,30,2,1
9953,67,1,8
9954,47,2,8
9955,33,2,3
9956,44,1,10
9957,59,2,9
9958,77,2,8
9959,43,2,2
9960,55,1,9
9961,63,2,NA
9962,26,2,1
9963,73,1,8
9964,63,1,9
9965,73,2,6
9966,63,2,8
9967,22,1,7
9968,58,2,5
9969,32,1,10
9970,41,2,10
9971,33,1,3
9972,31,2,7
9973,64,1,10
9974,44,1,6
9975,45,2,2
9976,48,1,4
9977,25,1,5
9978,67,1,9
9979,53,2,2
9980,46,2,6
9981,57,2,7
9982,52,2,3
9983,30,2,6
9984,37,2,4
9985,23,1,7
9986,25,2,8
9987,68,2,10
9988,52,1,8
9989,35,2,8
9990,41,2,7
9991,65,1,7
9992,59,2,6
9993,55,1,2
9994,50,2,6
9995,29,2,6
9996,30,2,3
9997,39,2,7
9998,62,1,2
9999,55,2,5
10000,69,1,10
10001,45,1,8
10002,66,2,3
10003,79,2,7
10004,42,1,7
10005,47,2,7
10006,36,1,7
10007,32,2,10
10008,25,2,7
10009,39,1,8
10010,53,1,5
10011,63,1,7
10012,37,1,6
10013,49,2,2
10014,56,2,8
10015,72,1,8
10016,32,1,3
10017,47,1,4
10018,84,2,7
10019,65,2,5
10020,70,1,10
10021,58,2,6
10022,21,2,4
10023,21,2,6
10024,69,2,6
10025,36,2,8
10026,74,2,8
10027,56,2,8
10028,48,1,8
10029,34,2,2
10030,45,2,10
10031,29,2,7
10032,36,2,7
10033,37,2,7
10034,27,2,1
10035,60,1,5
10036,28,2,3
10037,29,2,10
10038,69,1,9
10039,30,2,7
10040,58,2,8
10041,54,2,7
10042,64,2,1
10043,29,2,6
10044,31,2,8
10045,25,2,9
10046,59,2,5
10047,61,1,6
10048,36,2,3
10049,33,1,7
10050,19,2,NA
10051,70,2,8
10052,36,2,4
10053,30,2,5
10054,21,1,0
10055,29,2,7
10056,73,2,8
10057,33,2,2
10058,57,2,6
10059,35,2,NA
10060,30,2,3
10061,48,2,5
10062,24,2,6
10063,65,1,9
10064,59,1,1
10065,29,2,8
10066,77,1,8
10067,35,2,7
10068,54,2,7
10069,67,1,NA
10070,62,2,6
10071,28,1,7
10072,53,2,3
10073,24,2,8
10074,41,2,3
10075,77,2,8
10076,66,2,1
10077,49,2,1
10078,23,3,8
10079,45,1,7
10080,65,1,9
10081,42,2,8
10082,65,2,8
10083,53,1,9
10084,99,1,8
10085,32,2,6
10086,58,2,7
10087,62,1,9
10088,75,2,9
10089,61,2,9
10090,67,2,8
10091,66,2,2
10092,66,2,7
10093,23,1,10
10094,49,1,8
10095,39,2,8
10096,80,2,7
10097,78,2,NA
10098,37,2,8
10099,44,2,6
10100,53,2,7
10101,50,1,9
10102,85,2,8
10103,38,2,8
10104,50,1,6
10105,19,1,10
10106,54,1,8
10107,62,2,9
10108,66,2,6
10109,45,2,3
10110,42,1,3
10111,69,2,8
10112,58,2,8
10113,60,2,5
10114,65,1,8
10115,38,1,7
10116,66,2,3
10117,27,1,9
10118,30,2,8
10119,40,1,8
10120,69,2,7
10121,35,2,8
10122,61,1,6
10123,57,2,5
10124,46,2,4
10125,40,2,7
10126,41,2,9
10127,33,2,7
10128,60,2,3
10129,99,1,10
10130,69,2,NA
10131,67,1,10
10132,73,1,7
10133,74,2,10
10134,69,2,10
10135,64,1,3
10136,39,2,7
10137,40,2,2
10138,39,2,4
10139,56,1,9
10140,24,1,6
10141,25,2,2
10142,52,2,7
10143,58,1,8
10144,76,1,7
10145,35,2,6
10146,44,1,8
10147,65,2,7
10148,36,2,7
10149,35,1,9
10150,23,2,10
10151,37,2,3
10152,32,1,4
10153,65,2,8
10154,56,1,NA
10155,69,1,10
10156,22,1,3
10157,18,1,0
10158,39,1,6
10159,37,1,9
10160,43,1,7
10161,29,1,8
10162,49,1,7
10163,48,1,2
10164,71,1,3
10165,26,1,1
10166,52,1,3
10167,35,1,7
10168,69,1,9
10169,31,2,7
10170,42,1,6
10171,55,1,6
10172,99,1,0
10173,44,1,7
10174,41,1,9
10175,49,1,7
10176,21,1,7
10177,39,1,10
10178,38,1,7
10179,78,1,6
10180,65,2,4
10181,70,1,8
10182,19,1,4
10183,49,2,8
10184,42,1,8
10185,33,1,0
10186,66,2,7
10187,69,1,9
10188,27,1,0
10189,21,1,4
10190,19,1,10
10191,33,1,1
10192,28,1,0
10193,18,1,10
10194,71,1,10
10195,32,1,6
10196,28,2,3
10197,44,2,3
10198,23,2,NA
10199,44,2,10
10200,30,1,8
10201,37,1,8
10202,44,1,NA
10203,43,1,10
10204,80,1,6
10205,29,2,9
10206,27,2,7
10207,41,2,3
10208,20,2,7
10209,61,2,10
10210,59,2,4
10211,85,2,5
10212,48,1,7
10213,66,1,9
10214,43,2,6
10215,99,2,8
10216,31,1,10
10217,46,2,5
10218,37,2,8
10219,51,2,6
10220,52,2,NA
10221,39,1,9
10222,22,1,2
10223,60,2,3
10224,55,2,4
10225,26,2,6
10226,35,2,8
10227,56,1,4
10228,30,2,3
10229,69,2,6
10230,35,2,3
10231,26,1,8
10232,24,2,8
10233,65,1,8
10234,35,2,7
10235,38,1,NA
10236,39,2,2
10237,72,1,6
10238,36,2,3
10239,45,1,9
10240,52,1,7
10241,36,1,6
10242,52,2,NA
10243,34,1,1
10244,47,1,0
10245,29,2,2
10246,62,1,6
10247,45,2,7
10248,26,2,7
10249,57,1,9
10250,52,1,8
10251,33,1,9
10252,76,1,7
10253,41,2,4
10254,43,2,5
10255,47,2,5
10256,71,1,8
10257,73,1,8
10258,40,1,8
10259,32,1,9
10260,21,2,3
10261,44,2,3
10262,27,2,NA
10263,65,1,8
10264,52,2,6
10265,25,2,1
10266,59,1,6
10267,46,2,7
10268,50,2,5
10269,59,1,8
10270,33,2,7
10271,63,2,7
10272,72,1,10
10273,61,2,NA
10274,70,2,1
10275,64,1,NA
10276,24,2,4
10277,25,2,8
10278,27,1,10
10279,54,2,7
10280,53,2,7
10281,30,1,7
10282,75,2,8
10283,44,2,9
10284,29,3,6
10285,54,1,6
10286,45,2,3
10287,26,2,8
10288,49,1,1
10289,39,1,7
10290,24,2,10
10291,57,1,NA
10292,42,2,4
10293,59,2,7
10294,25,2,7
10295,18,2,NA
10296,52,2,8
10297,39,2,9
10298,23,2,7
10299,36,2,4
10300,65,2,3
10301,58,1,8
10302,34,2,5
10303,74,2,8
10304,26,2,8
10305,25,2,7
10306,27,2,0
10307,26,2,10
10308,74,2,8
10309,46,2,2
10310,56,2,4
10311,62,2,8
10312,36,2,7
10313,38,2,0
10314,25,2,7
10315,52,2,5
10316,51,2,7
10317,40,2,10
10318,54,2,5
10319,24,2,7
10320,86,1,6
10321,38,2,8
10322,55,2,7
10323,21,2,4
10324,63,2,5
10325,25,2,4
10326,61,2,4
10327,18,2,4
10328,21,1,6
10329,35,2,7
10330,38,2,NA
10331,23,2,0
10332,43,2,3
10333,34,1,7
10334,43,1,7
10335,35,1,1
10336,22,2,8
10337,20,1,4
10338,68,1,5
10339,38,2,5
10340,43,2,7
10341,61,1,6
10342,43,2,NA
10343,22,2,5
10344,34,1,7
10345,32,2,5
10346,18,2,7
10347,46,2,3
10348,32,1,10
10349,46,2,6
10350,47,1,5
10351,27,2,7
10352,68,1,6
10353,77,2,NA
10354,34,2,7
10355,31,2,8
10356,20,2,6
10357,84,2,9
10358,59,1,1
10359,39,2,7
10360,19,1,10
10361,62,2,4
10362,32,2,NA
10363,37,2,8
10364,26,2,7
10365,27,1,9
10366,20,1,6
10367,33,2,3
10368,20,2,6
10369,70,2,NA
10370,41,2,7
10371,21,2,NA
10372,33,2,0
10373,37,2,9
10374,58,1,NA
10375,20,2,10
10376,44,2,1
10377,54,2,2
10378,22,2,NA
10379,25,1,9
10380,53,2,7
10381,32,1,9
10382,59,1,7
10383,73,1,9
10384,35,2,6
10385,29,2,7
10386,37,1,8
10387,27,2,9
10388,34,2,4
10389,34,2,6
10390,23,3,6
10391,37,2,8
10392,34,2,8
10393,39,2,3
10394,27,2,8
10395,41,2,0
10396,38,2,7
10397,35,2,8
10398,49,2,8
10399,21,1,7
10400,53,2,7
10401,54,1,2
10402,19,2,0
10403,66,1,7
10404,24,2,8
10405,78,1,7
10406,56,1,10
10407,35,2,7
10408,19,2,7
10409,68,1,9
10410,57,2,2
10411,31,2,6
10412,33,2,6
10413,20,2,6
10414,22,1,10
10415,27,1,10
10416,50,2,6
10417,21,2,9
10418,43,2,NA
10419,27,1,9
10420,26,2,4
10421,70,1,NA
10422,51,2,4
10423,68,2,10
10424,19,2,6
10425,25,1,8
10426,31,1,8
10427,19,1,4
10428,24,1,9
10429,38,2,6
10430,25,2,9
10431,27,2,6
10432,31,1,6
10433,77,1,8
10434,45,2,NA
10435,33,2,3
10436,32,2,6
10437,31,2,7
10438,37,2,6
10439,33,2,10
10440,19,2,3
10441,21,2,8
10442,51,2,NA
